排名,片名,分数,评价人数,简评,导演,主演,年份,国家/地区,类型
182,哈利·波特与阿兹卡班的囚徒/HarryPotterandthePrisonerofAzkaban/哈利波特3：阿兹卡班的逃犯(港/台),8.6,366818,不一样的导演，不一样的哈利·波特。, Alfonso Cuarón, 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,英国 美国,奇幻 冒险
183,恋恋笔记本/TheNotebook/忘了·忘不了(港)/手札情缘(台),8.5,454875,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情
184,冰川时代/IceAge/冰河世纪/冰原历险记,8.6,441360,松鼠才是角儿。, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,..,2002,美国,喜剧 动画 冒险
185,海街日记/海街diary/海街女孩日记(港)/KamakuraDiary,8.8,265389,是枝裕和的家庭习作。, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭
186,海边的曼彻斯特/ManchesterbytheSea/情系海边之城(港),8.6,341947,我们都有权利不与自己的过去和解。, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭
187,哈利·波特与密室/HarryPotterandtheChamberofSecrets/哈利波特2：消失的密室(港/台),8.6,385769,魔法的密室之门已打开..., Chris Columbus, 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,美国 英国 德国,奇幻 冒险
188,新世界/???/暗黑新世界(台)/NewWorld,8.8,216130,要做就做得狠一点，这样才能活下去。, 朴勋政 Hoon-jung Park, 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 犯罪
189,二十二/TwentyTwo/22,8.7,205521,有一些东西不应该被遗忘。, 郭柯 Ke Guo,,2015,中国大陆,纪录片
190,虎口脱险/Lagrandevadrouille/横冲直撞出重围(港)/大進擊(台),8.9,163660,永远看不腻的喜剧。, 杰拉尔·乌里 Gérard Oury, 路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争
191,房间/Room/不存在的房间(台)/抖室(港),8.8,274183,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。, 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
192,恐怖游轮/Triangle/汪洋血迷宮(台)/轮回三角,8.5,544436,不要企图在重复中寻找已经失去的爱。, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚
193,雨中曲/Singin'intheRain/雨中情/万花嬉春,9,143100,骨灰级歌舞片。, 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly, 吉恩·...,1952,美国,喜剧 歌舞 爱情
194,人工智能/ArtificialIntelligence:AI/AI人工智慧,8.6,303673,对爱的执着，可以超越一切。, 史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley...,2001,美国,冒险 剧情 科幻
195,魔女宅急便/魔女の宅急便/魔女琪琪(台)/小魔女限时专送,8.6,323511,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险
196,惊魂记/Psycho/精神病患者/触目惊心,9,156081,故事的反转与反转，分裂电影的始祖。, 阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖
197,奇迹男孩/Wonder/奇迹,8.6,398879,世界不完美，爱会有奇迹。, 斯蒂芬·卓博斯基 Stephen Chbosky, 雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭
198,疯狂的石头/CrazyStone,8.4,551161,中国版《两杆大烟枪》。, 宁浩 Hao Ning, 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪
199,海洋/Océans/Oceans/海洋,9.1,127239,大海啊，不全是水。, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,...,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片
200,罗生门/羅生門/Rashomon,8.8,210129,人生的N种可能性。, 黑泽明 Akira Kurosawa, 三船敏郎 Toshir? Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑
201,燃情岁月/LegendsoftheFall/秋日传奇/真爱一世情(台),8.8,208861,传奇，不是每个人都可以拥有。, 爱德华·兹威克 Edward Zwick, 布拉德·皮特 Brad Pitt / 安东...,1994,美国,剧情 爱情 战争 西部
